Filename,T,P,HOA,Metal node,M%,UCV,D,ASA,AVAF,Adsorption
DB0-m2_o25_o29_f0_pcu.sym.130,313.0,16.0,4.636093,Cu,1.64,6356.7,0.329699,1194.96,0.53372,26.271877
DB0-m9_o11_o11_f0_sra.sym.23,313.0,16.0,6.623419,V,6.25,1328.32,1.21518,182.367,0.1069,7.534008
DB1-MIL47V-ADC_B-BDC_B_No547,298.0,1.0,6.444834,V,5.56,1526.03,1.6925,203.404,0.11504,2.574072
DB0-m29_o81_o150_f0_pts.sym.53,338.0,0.26,4.607582,Fe,2.04,2800.79,0.591972,593.758,0.27898,0.441464
DB5-hypotheticalMOF_5005155_0_0_0_18_5_14,338.0,3.2,3.812939,Zn,4.6,3526.81,0.51333,774.78,0.3451,2.222002
DB0-m9_o17_o23_f0_sra.sym.80,313.0,0.4,6.219361,V,2.82,3205.76,0.731863,564.17,0.1865,2.299879
DB0-m3_o8_o3_f0_pcu,298.0,1.0,4.622731,Zn,2.08,12145.5,0.259114,1854.55,0.6242,2.050418
DB0-m3_o8_o23_f0_pcu.sym.113,298.0,0.1,5.213294,Zn,1.96,4345.5,0.400678,915.451,0.4454,0.255392
DB0-m3_o4_o26_f0_pcu.sym.40,298.0,0.1,5.846894,Zn,2.56,1879.76,0.662022,364.263,0.21034,0.697768
DB0-m3_o25_o510_f0_fsc.sym.4,313.0,16.0,6.946525,Zn,3.33,1586.85,0.696155,302.175,0.21192,18.449683
DB5-hypotheticalMOF_5065426_0_0_2_15_16_4,313.0,0.4,4.091027,Cu,2.5,2779.74,0.562529,613.897,0.33238,0.707384
DB5-hypotheticalMOF_5010753_1_0_0_8_12_8,313.0,0.4,3.52114,Zn,6.56,2442.31,0.602366,507.522,0.39448,0.27917
DB5-hypotheticalMOF_5035752_2_0_1_18_9_6,298.0,1.0,3.671982,Zn,5.26,2038.9,0.473231,424.934,0.42428,1.273108
DB0-m29_o99_o44_f0_pts.sym.150,338.0,0.26,5.417795,Fe,2.3,2667.8,0.612057,604.862,0.24476,0.48854
DB0-m3_o4_o11_f0_nbo.sym.27,298.0,0.1,4.286441,Zn,5.0,5278.22,0.551514,1012.72,0.42398,0.164257
DB0-m18_o81_o150_f0_fsc,298.0,0.1,6.519964,Fe,3.33,1100.49,0.975007,175.218,0.1427,1.694913
DB0-m29_o86_o55_f0_pts.sym.27,298.0,1.0,7.03614,Fe,2.0,2371.97,0.792116,495.938,0.10454,6.146812
DB0-m3_o18_o19_f0_pcu.sym.76,313.0,0.4,4.901571,Zn,2.0,2757.94,0.591028,618.824,0.21848,1.215543
DB0-m29_o86_o47_f0_pts.sym.37,298.0,1.0,9.26572,Fe,2.22,1933.47,0.891817,330.453,0.11992,4.520311
DB0-m3_o15_o21_f0_pcu.sym.3,338.0,3.2,5.087762,Zn,3.03,1531.24,0.948998,270.054,0.11194,2.957923
DB0-m29_o81_o147_f0_pts.sym.9,338.0,3.2,4.915056,Fe,2.56,2231.44,0.71377,448.738,0.26094,4.937485
DB5-hypotheticalMOF_6035_1_1_0_10_21_1,338.0,0.26,4.003413,Zn,6.78,4256.31,0.727154,1070.28,0.1887,0.218329
DB0-m3_o2_o6_f0_pcu.sym.55,298.0,1.0,4.824161,Zn,2.5,3491.88,0.494308,666.223,0.39956,3.107883
DB0-m3_o25_o28_f0_pcu.sym.118,338.0,3.2,3.790317,Zn,1.27,5562.77,0.404822,1119.14,0.42108,4.306954
DB5-hypotheticalMOF_5079640_1_0_2_28_13_8,338.0,0.26,4.222779,Cu,1.43,6170.53,0.423634,1069.93,0.4977,0.322326
DB0-m3_o22_o23_f0_nbo.sym.57,338.0,3.2,4.852077,Zn,2.48,7407.94,0.529474,1446.42,0.36994,2.742947
DB0-m3_o24_o440_f0_fsc.sym.4,338.0,3.2,6.396407,Zn,2.94,1072.4,1.14482,143.544,0.11012,3.720779
